Column1;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64;Column65;Column66;Column67;Column68;Column69;Column70;Column71;Column72;Column73;Column74;Column75;Column76;Column77;Column78;Column79;Column80;Column81;Column82;Column83;Column84;Column85;Column86;Column87;Column88;Column89;Column90;Column91;Column92;Column93;Column94;Column95;Column96;Column97;Column98;Column99;Column100;Column101;Column119;Column120;Column121;Column126;Column128
6;1;13;71;15;7;1;41;4;52;35;33;15;1;49;71;16;47;36;4;45;47;33;37;4;22;32;38;6;18;33;36;38;32;62;2;29;35;3;41;55;46;46;85;62;56;68;62;83;81;5;3;28;36;43;52;57;1;1;1;1;0;58;88;82;77;79;72;49;91;63;0;6;87;49;1;2;46;5;28;75;74;7;73;67;82;67;58;67;19;7;14;1;35;53;39;62;2;1;1;0;24
36;1;2;46;8;91;7;1;34;36;22;57;4;1;72;53;23;74;63;17;59;8;72;71;36;7;43;41;1;7;18;19;72;18;51;18;67;13;79;18;4;24;22;59;85;87;89;78;31;39;1;14;1;11;17;21;27;5;7;8;1;82;8;34;31;5;64;2;72;9;41;5;2;89;62;7;43;6;2;9;74;76;79;45;54;65;49;39;51;68;1;0;2;88;91;9;93;1;63;1;0;8
25;1;3;47;1;96;13;2;29;32;2;52;4;1;8;55;18;87;51;7;55;82;78;77;62;14;54;46;1;7;7;7;89;24;55;29;73;1;88;13;38;2;18;5;87;9;87;73;33;48;0;3;1;25;28;26;25;13;13;11;1;87;5;18;19;5;55;25;83;2;25;5;1;94;78;0;26;29;1;15;71;69;68;6;82;1;87;4;39;46;0;0;22;66;82;66;73;3;18;59;0;6
55;1;1;44;0;98;4;1;35;53;32;23;2;77;46;77;41;73;28;1;22;47;41;4;38;32;9;75;0;7;2;22;42;13;76;67;24;42;47;37;39;27;32;47;88;92;88;82;56;6;0;8;0;8;6;25;22;1;0;2;1;96;5;14;14;45;63;19;65;4;45;5;1;92;55;5;21;85;8;7;19;18;18;35;32;32;29;16;35;26;1;0;3;86;43;47;69;8;4;0;0;9
6;1;4;36;1;85;14;26;32;46;3;31;5;1;71;67;42;55;25;14;36;7;79;82;29;37;53;38;2;18;11;14;58;19;68;28;35;15;61;6;5;68;66;35;66;68;87;59;3;3;1;1;3;69;74;7;69;65;61;53;47;74;32;26;22;39;37;45;47;21;54;5;1;43;5;0;19;79;7;7;88;93;97;96;91;1;87;55;81;21;0;11;4;42;31;51;53;2;4;15;0;21
19;1;3;34;6;93;3;3;39;41;28;58;0;0;18;42;81;49;62;37;41;21;22;21;16;12;46;28;3;33;3;37;24;32;42;38;48;48;36;5;34;45;49;38;55;6;61;52;64;71;1;19;0;5;4;3;13;0;0;0;1;95;3;14;12;32;39;22;62;4;53;5;4;76;58;41;47;25;24;44;4;4;5;1;13;14;13;4;2;35;1;0;3;85;6;74;78;4;15;4;0;3
36;1;15;31;4;63;14;6;58;72;65;47;16;1;22;52;1;51;48;39;51;3;29;34;23;13;2;3;15;48;3;38;47;37;44;8;73;21;53;5;94;45;49;36;2;25;25;19;61;65;13;73;5;39;39;46;46;21;19;2;18;81;8;22;13;21;33;22;24;1;6;0;22;64;22;79;6;0;4;26;23;23;23;31;32;36;33;52;35;4;23;2;23;8;41;53;8;6;39;84;88;49
34;1;1;53;1;94;2;3;34;39;27;36;2;76;79;77;13;77;44;15;56;75;69;67;38;0;51;62;0;4;1;18;58;11;68;42;37;21;66;25;4;25;26;52;88;88;97;74;51;48;0;4;1;15;26;32;3;9;14;15;13;82;4;2;21;57;58;34;89;4;27;5;1;88;86;25;54;33;3;8;5;49;5;8;76;96;8;69;52;65;0;0;26;64;8;74;73;3;9;21;0;7
18;1;2;47;1;97;7;2;7;67;63;37;0;0;33;56;28;62;43;21;4;41;34;32;22;37;69;35;2;22;16;24;45;19;48;36;77;25;56;38;58;43;43;41;66;73;72;63;53;6;1;11;0;4;35;37;39;8;6;6;6;95;1;12;11;33;49;19;54;6;55;5;1;89;46;27;43;5;12;5;14;14;14;27;29;3;3;45;22;28;0;0;8;58;4;49;45;3;2;7;0;15
42;1;0;41;5;96;1;1;37;37;24;55;1;58;23;34;33;51;7;36;87;24;22;21;24;15;0;31;1;28;27;38;19;72;25;39;35;49;34;31;29;27;3;41;76;74;83;89;45;31;0;6;0;0;0;0;0;0;0;0;0;94;2;1;12;46;45;41;83;4;42;5;1;75;83;31;84;44;5;18;8;9;1;6;12;15;2;19;2;28;0;0;2;98;91;78;93;9;3;5;0;3
6;1;25;54;5;71;48;3;42;48;28;32;26;1;33;55;37;37;39;64;44;32;29;32;23;17;17;3;19;34;34;43;24;59;43;38;41;43;36;6;35;68;67;6;6;61;64;61;3;3;8;22;14;31;45;57;64;28;36;41;42;64;35;43;39;56;54;6;47;39;48;5;15;83;49;9;16;73;14;28;31;31;31;4;4;45;4;65;59;21;12;9;38;58;31;48;73;9;46;5;76;34
12;1;1;42;47;59;12;5;41;53;34;33;1;99;28;62;16;36;4;3;45;29;3;35;21;2;33;4;76;33;25;39;28;3;59;18;33;35;38;69;41;71;73;47;53;51;59;51;55;56;49;35;16;27;34;4;43;7;7;8;8;9;4;23;2;42;46;4;55;2;49;5;1;6;54;52;44;63;37;23;11;11;13;25;28;32;3;45;41;32;39;36;1;44;45;6;48;1;7;15;31;69
41;1;1;34;2;87;7;11;49;56;43;47;0;0;13;4;26;42;52;41;41;17;2;2;13;8;18;19;3;58;31;42;24;63;32;45;44;56;34;72;49;69;72;4;49;53;47;68;37;48;1;2;0;48;55;59;56;14;14;13;12;9;1;23;18;32;37;32;38;18;71;0;3;68;38;33;4;23;54;29;6;6;8;14;17;18;16;54;38;42;5;0;12;41;37;51;45;5;9;6;0;21
19;1;11;43;4;89;9;6;45;48;31;46;13;1;22;52;44;49;56;41;39;25;25;25;16;7;2;22;1;36;29;37;27;33;53;43;47;44;33;48;39;48;5;49;59;61;51;66;68;71;5;26;2;49;59;62;64;11;11;11;1;92;9;27;24;43;48;35;64;12;56;0;9;8;61;45;43;19;34;25;5;4;5;14;17;18;17;44;2;43;5;1;9;72;58;72;64;16;12;7;56;63
6;1;2;96;5;0;1;1;54;58;39;33;0;0;16;61;41;14;49;92;28;12;8;2;14;11;17;21;5;63;1;1;1;1;22;9;26;32;16;28;49;36;33;1;54;46;42;6;47;47;3;43;6;36;42;53;6;1;1;1;1;0;1;1;1;1;1;1;39;1;63;0;1;87;42;15;29;54;52;1;14;12;1;18;22;23;22;5;55;21;0;0;1;43;54;7;74;2;22;2;0;31
8;1;0;33;2;91;16;9;55;63;53;31;2;1;29;64;6;57;3;15;41;32;34;34;27;15;15;35;1;3;11;18;54;3;56;33;53;31;58;6;73;66;64;28;58;6;75;59;65;67;0;7;0;79;77;69;61;29;25;2;17;88;3;8;8;24;3;23;49;9;61;0;2;7;47;1;34;65;19;18;22;2;21;32;31;33;28;55;59;39;0;0;15;34;31;36;44;2;15;16;0;12
6;1;6;49;46;0;1;43;35;5;32;34;8;1;35;68;16;36;36;38;34;34;32;32;38;17;37;33;4;25;35;46;25;35;57;62;23;42;32;55;59;65;62;58;47;47;61;46;56;49;5;49;1;39;47;59;65;8;84;96;97;26;67;46;4;51;48;56;3;81;79;0;5;83;33;8;12;42;15;34;54;52;5;6;57;63;56;62;48;11;0;0;87;39;57;82;72;1;79;21;0;84
39;1;1;37;1;99;2;1;35;38;23;59;0;0;23;38;39;51;64;35;63;24;23;22;23;25;48;51;2;32;3;45;16;34;37;78;35;71;25;51;25;47;5;4;65;68;76;59;27;42;0;6;0;18;13;11;9;2;1;1;1;95;1;13;13;38;41;32;66;3;4;5;2;82;64;3;61;27;33;32;7;6;7;13;14;13;17;42;27;26;0;0;4;82;63;82;82;4;9;0;0;1
54;1;1;27;43;64;8;1;36;33;22;74;0;0;12;1;11;39;84;48;82;21;25;27;16;28;1;86;3;57;46;49;3;54;13;5;77;18;57;61;33;58;63;35;41;44;42;55;23;4;1;29;0;1;1;13;14;1;1;1;1;94;3;16;13;26;26;3;53;7;53;5;6;5;54;3;85;29;48;22;7;7;9;1;14;16;15;62;36;26;1;0;5;82;68;79;78;2;17;0;0;49
9;1;0;5;1;98;2;2;31;4;23;25;0;0;6;83;25;63;26;12;31;58;48;46;41;8;39;41;0;1;18;27;44;22;81;52;47;27;57;41;35;38;4;47;83;83;79;81;7;82;0;4;0;22;16;19;16;4;2;3;2;94;2;14;15;51;55;29;81;4;38;5;2;57;77;4;74;48;7;23;43;42;39;43;49;6;54;28;63;35;0;0;7;71;68;64;78;1;2;8;0;2
1;1;1;3;0;99;2;1;38;37;27;74;0;0;16;24;24;41;73;53;49;21;25;24;0;12;29;4;2;45;62;61;26;24;27;45;37;5;42;54;22;54;57;28;63;63;75;6;35;54;0;5;0;1;81;87;74;2;1;2;1;98;2;6;6;27;33;23;53;5;46;5;1;8;5;1;38;54;37;7;1;1;11;6;9;11;12;58;25;28;0;0;0;82;54;72;76;4;7;1;0;16
19;1;29;34;14;84;14;4;4;52;35;42;31;1;25;57;32;47;49;34;47;28;29;3;22;15;16;31;22;33;19;31;29;28;6;28;4;39;34;63;44;62;65;41;51;53;54;55;7;74;12;29;4;34;38;45;52;7;7;8;8;91;7;2;17;33;4;25;58;12;63;0;26;78;54;84;51;29;24;25;8;7;7;25;27;28;27;53;39;49;18;4;9;78;53;72;74;22;21;2;0;19
1;1;4;37;32;7;21;2;1;1;1;14;5;1;2;77;57;47;13;11;16;32;17;19;16;7;21;22;11;1;18;18;82;42;23;19;1;25;67;9;1;16;13;38;55;53;59;54;68;69;3;69;1;1;91;86;8;29;23;2;17;9;5;14;7;25;41;22;24;14;71;0;6;66;21;7;24;77;27;1;16;16;18;18;21;26;21;1;16;24;0;0;12;49;12;0;15;9;9;1;0;15
51;1;9;43;51;58;4;1;58;56;5;52;1;1;2;42;21;44;65;36;52;24;26;31;19;22;14;26;9;43;47;53;34;36;38;44;63;43;42;48;53;5;52;39;41;42;44;48;57;62;7;48;1;72;75;67;61;8;8;6;5;96;2;18;16;34;38;32;5;8;51;5;11;69;49;33;51;44;42;17;8;9;11;12;18;21;19;4;18;35;3;0;4;72;56;56;6;14;11;19;6;31
6;1;3;36;6;6;1;11;31;46;26;2;4;1;8;84;33;72;14;8;31;78;8;85;64;49;5;82;1;6;5;5;77;16;81;28;3;9;73;52;47;54;54;41;79;82;92;74;67;62;0;7;4;44;48;5;52;7;66;63;6;56;22;17;15;4;51;28;57;14;53;5;3;84;52;1;1;75;0;2;1;1;1;1;1;1;96;38;82;22;0;0;67;38;38;45;46;1;63;22;0;8
18;1;19;3;19;84;3;1;36;46;3;56;2;1;19;44;19;46;6;35;5;23;25;26;2;13;31;35;16;38;38;48;22;45;43;46;43;53;31;69;37;67;71;36;47;49;49;45;64;66;9;32;1;44;42;55;5;3;2;3;2;96;4;14;12;29;35;24;53;9;67;0;28;63;5;37;56;27;4;13;6;6;6;16;17;19;18;46;24;37;5;1;2;71;58;78;75;12;26;9;34;24
6;1;3;56;6;74;44;34;45;43;3;39;5;1;58;6;25;53;45;22;51;58;46;47;4;23;39;5;1;1;16;25;43;2;59;36;49;27;57;36;37;41;4;58;78;77;83;7;59;61;1;11;2;16;22;3;36;14;16;2;22;68;15;33;33;58;58;53;72;23;44;5;2;89;71;23;29;71;5;11;64;69;71;58;6;66;6;56;78;32;0;0;35;53;52;82;83;2;33;1;0;11
41;1;1;52;1;69;3;58;36;39;26;87;0;0;18;9;49;53;93;41;75;17;14;17;17;7;37;18;3;59;69;64;12;34;19;58;26;67;24;3;28;31;32;58;62;59;58;5;21;34;1;3;2;66;75;71;71;87;88;75;69;38;79;73;64;51;32;87;5;54;74;0;1;92;62;17;38;65;38;3;1;8;7;25;26;25;26;56;55;32;1;0;56;37;46;53;52;1;27;4;0;22
40;1;2;5;24;65;1;22;48;6;41;34;0;0;17;5;88;36;43;48;51;16;18;2;18;15;32;2;3;48;36;42;27;5;45;1;54;29;39;47;3;51;51;49;65;63;67;66;4;38;1;23;0;37;41;44;54;8;8;8;9;82;7;22;22;48;41;58;39;21;5;5;6;44;44;26;74;44;65;39;6;6;8;15;21;23;21;34;39;32;1;0;9;38;33;34;8;4;14;0;0;13
34;1;1;14;21;67;61;7;18;69;26;4;0;0;58;98;18;66;0;3;0;68;78;82;46;0;51;73;0;2;4;3;98;16;98;47;5;1;85;53;6;45;5;31;75;81;82;69;34;41;0;22;1;59;62;74;72;63;58;63;55;71;1;5;4;16;38;11;31;9;88;0;5;5;24;2;27;9;3;11;51;55;57;76;64;67;66;34;73;58;0;0;45;35;4;0;1;3;1;53;0;7
34;1;1;46;1;98;3;4;31;38;2;59;0;0;37;44;16;47;63;15;74;36;31;3;44;34;29;53;0;1;21;44;15;51;35;21;3;35;27;32;26;32;33;44;72;73;86;74;31;32;0;7;0;0;0;4;5;0;0;1;1;91;6;21;21;49;44;61;78;8;33;5;12;0;8;3;2;75;3;42;27;26;25;63;57;56;64;49;84;88;0;0;1;6;52;56;76;14;2;1;0;11
44;1;6;37;8;88;3;3;31;42;26;62;8;1;32;46;2;5;65;33;63;35;32;31;35;15;24;34;3;17;49;58;24;33;49;61;43;59;32;39;39;41;42;45;67;68;74;66;63;72;1;13;5;17;16;16;22;17;15;14;16;62;31;19;17;39;53;22;6;8;58;0;4;86;52;12;49;33;1;2;3;29;26;25;36;42;34;49;54;53;0;0;44;67;78;86;79;4;31;2;0;6
1;1;0;45;1;0;1;0;43;41;27;57;2;1;16;38;1;16;71;44;61;19;16;23;23;27;69;16;2;54;39;5;26;56;33;27;66;45;35;58;42;66;66;52;3;31;38;24;81;83;1;39;0;0;24;2;63;0;1;1;2;95;2;33;31;45;47;44;56;14;5;5;2;66;55;67;44;38;3;23;7;7;8;3;11;13;15;49;39;49;0;1;1;93;69;88;82;1;3;15;0;8
6;1;9;37;2;85;19;25;29;4;24;43;1;1;56;56;31;64;42;18;6;55;57;58;55;31;52;35;4;17;14;15;58;27;6;3;39;18;64;57;4;63;62;35;68;7;83;58;41;47;2;17;5;47;5;53;54;42;39;38;35;72;24;2;18;38;38;41;53;19;54;5;12;67;54;4;13;85;5;13;64;69;71;72;71;89;72;64;84;21;0;1;37;35;2;39;44;11;14;15;0;22
34;1;2;73;2;82;64;7;34;37;27;55;4;1;78;74;19;8;54;2;57;72;59;58;32;5;48;68;1;7;21;23;5;18;48;35;42;19;57;9;41;12;11;62;93;91;94;86;0;11;0;6;3;31;42;43;42;39;47;45;4;61;18;3;34;72;68;74;92;6;1;5;0;98;93;0;11;38;2;5;68;66;65;87;1;1;1;35;47;46;1;0;55;42;9;82;73;3;2;32;0;17
8;1;12;41;2;9;15;13;72;79;73;21;14;1;25;73;52;6;22;16;24;35;28;28;21;14;24;27;13;44;12;12;7;34;56;35;68;21;58;36;73;43;41;42;7;74;8;6;52;55;1;11;3;93;85;79;77;29;23;2;17;86;6;15;12;37;47;29;46;9;52;5;9;83;42;6;3;73;14;18;19;18;16;32;31;34;28;75;48;4;2;2;13;32;21;27;29;12;18;7;0;16
34;1;3;67;45;61;7;5;38;5;25;24;3;68;47;71;27;38;34;2;35;42;3;31;32;31;46;29;2;18;27;41;27;32;58;28;51;4;44;38;42;46;44;65;72;68;83;57;56;62;2;34;0;19;27;35;3;3;4;5;4;9;7;33;35;66;68;49;83;1;33;5;4;71;81;37;83;79;13;22;23;22;22;37;4;48;45;66;61;96;7;0;7;51;58;57;66;17;4;34;0;2
35;1;0;47;3;69;1;72;42;41;24;5;0;0;18;28;49;34;65;45;31;21;18;21;15;14;6;22;2;57;65;62;18;45;3;13;38;54;36;4;24;43;43;54;64;59;46;68;13;23;1;27;0;35;3;38;37;9;7;8;7;46;35;34;32;51;46;59;63;28;44;5;3;44;66;28;94;48;66;28;5;5;6;5;11;13;1;3;19;22;0;0;11;52;67;77;75;2;11;2;0;12
8;1;4;32;2;95;8;9;34;43;26;38;5;1;37;62;19;59;38;16;48;44;45;44;48;19;26;39;2;18;8;15;58;26;62;31;47;2;6;59;37;67;66;38;62;68;7;62;68;71;1;9;1;3;37;37;43;6;7;6;7;91;6;15;13;34;45;2;59;8;49;5;4;77;52;3;25;65;12;7;23;21;22;29;31;37;29;53;52;24;0;0;9;33;43;45;54;3;23;14;0;11
33;1;1;35;1;98;3;1;39;44;28;55;0;0;23;45;5;45;6;38;6;24;22;21;34;13;13;52;2;34;41;57;17;47;44;72;37;76;31;58;32;5;56;4;57;6;44;71;6;65;1;23;0;21;19;15;18;5;4;3;3;9;5;15;14;37;43;34;51;8;6;0;3;59;49;17;45;25;64;43;18;17;15;25;31;34;29;59;74;69;0;0;1;6;47;71;58;12;3;2;0;12
18;1;6;31;17;84;4;3;4;48;29;43;7;1;24;47;19;42;52;38;7;27;26;25;3;16;33;26;7;43;32;45;19;54;41;78;31;6;28;73;32;76;78;39;44;47;4;45;49;48;3;23;0;13;13;14;22;1;1;1;2;95;4;16;14;33;35;32;56;8;56;0;9;67;55;4;55;31;46;17;6;5;5;17;19;19;2;48;8;36;4;0;4;78;58;8;81;4;26;1;82;2
6;1;35;62;14;56;32;48;52;6;42;26;36;1;38;66;22;38;32;42;46;39;31;36;31;21;28;3;24;31;3;38;3;44;51;37;45;42;4;51;54;61;59;68;59;57;69;6;38;37;14;32;23;39;48;53;59;42;46;46;47;57;38;58;53;64;67;59;47;5;51;5;25;77;46;19;21;63;22;19;32;33;32;48;47;55;47;68;62;17;1;3;46;48;35;46;69;22;24;9;22;68
34;1;4;52;29;71;11;9;33;42;24;52;5;1;4;58;7;52;58;24;58;4;33;33;33;27;33;34;2;13;27;43;2;23;52;4;33;43;35;38;42;39;4;58;65;63;76;63;35;45;2;27;1;9;13;2;29;3;3;5;6;84;7;34;33;55;6;26;84;9;26;5;1;93;79;45;6;31;15;11;21;19;18;35;37;42;35;52;5;63;0;0;12;52;78;75;75;3;28;29;0;23
34;1;2;62;1;98;7;2;49;4;3;26;3;77;79;75;3;73;35;5;44;74;67;65;56;3;31;42;0;5;11;14;67;24;59;29;55;14;76;2;35;23;22;62;9;92;86;75;21;36;0;5;0;7;13;14;13;2;3;3;2;92;3;22;24;66;73;24;87;2;18;5;1;87;8;11;54;73;3;0;5;52;54;67;65;1;76;51;57;43;0;0;1;45;71;68;69;11;4;11;0;5
39;1;0;47;2;99;1;0;45;54;35;34;2;1;23;49;3;28;5;49;53;24;18;17;41;5;18;32;2;43;63;7;8;53;38;78;17;77;15;55;28;63;62;47;59;6;46;6;31;4;0;12;0;29;22;18;27;1;1;1;1;97;2;18;19;5;51;5;51;1;47;5;1;9;52;39;43;44;41;7;1;9;8;14;18;19;21;45;21;29;0;0;2;72;6;67;84;2;11;1;0;1
48;1;1;48;1;8;6;23;43;46;3;53;0;0;13;35;32;3;67;53;49;13;13;13;16;13;53;22;3;61;53;66;16;65;24;63;38;64;28;77;24;62;71;48;57;51;53;57;26;35;1;22;0;25;33;36;51;7;9;9;11;81;9;31;28;45;38;59;54;26;51;5;4;45;59;43;73;48;94;37;2;3;5;1;13;16;17;49;44;57;0;0;12;75;5;66;81;6;6;4;0;28
6;1;16;44;5;76;53;21;37;49;3;29;18;1;5;7;21;52;29;31;45;49;43;44;39;25;33;44;7;16;12;18;42;25;69;2;32;26;47;57;45;69;66;47;62;65;71;54;51;6;3;13;11;46;54;62;63;45;47;49;45;69;2;26;24;47;47;49;51;24;46;5;9;86;53;5;13;58;8;5;51;51;52;65;6;7;6;65;65;19;3;1;42;49;42;54;62;8;32;56;57;22
53;1;0;34;1;95;6;6;4;44;28;58;0;0;17;28;22;41;68;53;5;2;19;18;16;9;35;21;2;43;32;46;15;44;33;36;3;54;25;78;31;75;8;4;46;49;51;47;33;34;0;14;0;4;32;36;35;1;6;6;6;92;6;23;19;34;36;37;46;16;6;0;2;76;47;21;48;27;4;16;8;7;7;17;19;2;18;51;23;35;1;0;9;59;42;56;64;1;17;5;0;22
1;1;24;37;48;58;13;2;44;55;38;31;25;99;34;67;33;51;32;21;58;38;38;45;22;19;35;5;16;3;22;3;54;33;57;43;46;23;66;52;45;57;56;42;58;58;67;53;52;54;9;28;4;41;45;53;52;11;11;12;1;92;4;17;16;38;45;32;54;12;44;5;25;72;51;1;25;6;28;14;15;16;18;24;25;28;26;31;15;22;17;9;11;54;51;6;49;48;8;0;51;55
34;1;0;4;0;98;5;3;26;42;24;56;2;1;43;53;0;57;67;25;86;45;38;36;8;33;35;49;0;1;44;48;13;22;57;62;29;59;22;43;47;32;38;44;66;67;84;55;57;74;0;9;0;3;37;33;33;14;15;12;11;79;12;17;17;44;5;29;7;8;44;5;0;91;66;0;44;31;12;3;39;35;31;52;52;57;57;51;59;81;0;0;19;68;85;84;85;0;36;7;0;5
34;1;1;36;1;97;6;6;24;41;24;58;3;1;52;55;24;71;63;6;53;52;49;47;1;7;32;89;0;8;36;39;35;2;55;43;35;33;53;27;39;28;29;42;81;83;91;64;35;29;0;3;1;18;28;28;27;13;19;17;15;72;15;16;15;4;48;27;64;6;51;5;1;9;59;1;53;17;3;17;53;49;48;68;66;73;67;51;7;78;0;0;32;74;82;72;81;1;42;21;0;3
51;1;2;41;25;8;2;1;38;44;31;56;0;0;23;47;27;46;61;35;63;27;27;28;22;9;13;23;2;3;47;49;27;18;37;36;6;51;36;7;38;53;63;31;55;49;48;54;54;68;1;24;0;57;61;5;61;6;6;4;5;96;3;1;1;29;31;29;54;5;46;5;3;78;53;11;62;4;49;24;11;11;12;17;2;21;21;36;18;35;2;0;4;74;5;47;61;6;1;1;0;7
41;1;0;38;1;93;12;4;61;57;49;47;0;0;16;49;61;47;47;37;36;23;18;18;18;9;13;3;2;5;22;32;3;47;38;26;66;52;43;55;45;5;54;42;57;65;56;64;66;57;1;2;0;82;9;95;81;13;12;12;9;93;3;24;19;35;42;31;45;12;59;0;1;79;43;14;37;4;41;36;6;5;6;13;15;15;14;47;22;44;0;0;6;53;39;48;53;1;24;0;0;7
4;1;1;59;1;64;5;64;48;5;31;34;0;0;24;56;59;3;44;49;34;22;21;24;17;8;5;26;3;46;51;48;21;51;48;43;41;55;33;59;35;63;63;67;52;48;4;66;49;5;2;34;1;19;29;33;39;6;8;9;9;56;19;5;47;62;62;61;54;42;55;0;5;48;55;18;3;75;65;1;11;11;11;23;25;26;26;53;41;54;3;9;14;42;38;56;43;6;7;4;0;57
